ID;productCode;productName;description;brand;category;subCategory;productType;size;unit;listPrice;cost;currency;status;inStock;stockQuantity;isPromoted;isTrending;trendScore;parentProduct_ID;notes
04567890-0020-0000-0000-000000000020;SETTING-SPR-100;Setting Spray;Long-lasting makeup setting spray;Beauty Basics;Makeup;Face;Product;100ml;bottle;59.90;30.00;MYR;Active;true;170;false;false;58;;
04567890-0021-0000-0000-000000000021;HAIR-ARGAN-100;Argan Oil Hair Treatment;Nourishing argan oil for all hair types;Hair Luxe;Haircare;Treatments;Product;100ml;bottle;79.90;40.00;MYR;Active;true;130;false;false;65;;
04567890-0022-0000-0000-000000000022;HAIR-SHAM-300;Keratin Repair Shampoo;Keratin-infused repair shampoo;Hair Luxe;Haircare;Shampoos;Product;300ml;bottle;49.90;25.00;MYR;Active;true;220;false;false;60;;
04567890-0023-0000-0000-000000000023;HAIR-COND-300;Keratin Repair Conditioner;Keratin-infused repair conditioner;Hair Luxe;Haircare;Conditioners;Product;300ml;bottle;49.90;25.00;MYR;Active;true;200;false;false;60;;
04567890-0024-0000-0000-000000000024;HAIR-MASK-200;Deep Repair Hair Mask;Intensive repair mask for damaged hair;Hair Luxe;Haircare;Masks;Product;200ml;jar;69.90;35.00;MYR;Active;true;140;false;false;62;;
04567890-0025-0000-0000-000000000025;HAIR-SERUM-50;Anti-Frizz Serum;Smoothing serum for frizzy hair;Hair Luxe;Haircare;Styling;Product;50ml;bottle;59.90;30.00;MYR;Active;true;160;false;false;58;;
04567890-0026-0000-0000-000000000026;FRAG-FLORAL-50;Floral Dreams Eau de Parfum;Light floral fragrance for women;Scent Studio;Fragrance;Women;Product;50ml;bottle;129.90;65.00;MYR;Active;true;75;false;false;55;;
04567890-0027-0000-0000-000000000027;FRAG-CITRUS-50;Citrus Breeze Eau de Toilette;Fresh citrus fragrance unisex;Scent Studio;Fragrance;Unisex;Product;50ml;bottle;99.90;50.00;MYR;Active;true;90;false;false;52;;
04567890-0028-0000-0000-000000000028;TOOL-BRUSH-SET;Pro Makeup Brush Set;Professional makeup brush set (12 pieces);Beauty Tools Pro;Tools;Brushes;Product;12pcs;set;149.90;75.00;MYR;Active;true;95;false;false;60;;
04567890-0029-0000-0000-000000000029;TOOL-SPONGE-2;Beauty Blender Duo;Makeup sponges 2-pack;Beauty Tools Pro;Tools;Sponges;Product;2pcs;pack;39.90;20.00;MYR;Active;true;280;false;false;58;;
04567890-0030-0000-0000-000000000030;TOOL-CURLER;Eyelash Curler Premium;Premium eyelash curler;Beauty Tools Pro;Tools;Accessories;Product;1pc;piece;29.90;15.00;MYR;Active;true;150;false;false;50;;
04567890-0031-0000-0000-000000000031;SUPP-COLLAGEN-60;Marine Collagen Supplement;Marine collagen for skin health (60 capsules);Beauty Within;Supplements;Collagen;Product;60caps;bottle;99.90;50.00;MYR;Active;true;120;true;true;75;;Growing category
04567890-0032-0000-0000-000000000032;SUPP-BIOTIN-90;Biotin Hair Growth Supplement;Biotin for hair and nail growth (90 capsules);Beauty Within;Supplements;Vitamins;Product;90caps;bottle;79.90;40.00;MYR;Active;true;140;false;false;68;;
04567890-0033-0000-0000-000000000033;SERVICE-FACIAL;Glass Skin Facial Treatment;60-minute glass skin facial treatment;Spa Services;Services;Facial;Service;60min;session;280.00;140.00;MYR;Active;true;999;false;true;82;;Service offering
04567890-0034-0000-0000-000000000034;SERVICE-HAIR;Keratin Hair Treatment;Full keratin hair treatment;Spa Services;Services;Hair;Service;120min;session;380.00;190.00;MYR;Active;true;999;false;false;65;;
04567890-0035-0000-0000-000000000035;GLOW-VIT-C-SET;Vitamin C Complete Set;Full vitamin C routine set (cleanser, serum, cream);GlowLab;Skincare;Sets;Bundle;3pcs;set;199.00;100.00;MYR;Active;true;80;true;true;88;;Bundle deal
04567890-0036-0000-0000-000000000036;KBEAUTY-START;K-Beauty Starter Kit;Introduction to K-Beauty 5-piece kit;K-Beauty Essentials;Skincare;Sets;Bundle;5pcs;set;149.00;75.00;MYR;Active;true;100;true;true;90;;Perfect for beginners
04567890-0037-0000-0000-000000000037;CLEAN-MINI-SET;Clean Beauty Mini Set;Travel-size clean beauty essentials;Clean Beauty Co;Skincare;Sets;Bundle;4pcs;set;89.00;45.00;MYR;Active;true;150;false;false;70;;Travel friendly
04567890-0038-0000-0000-000000000038;GLOW-PEEL-30;AHA BHA Peeling Solution;Exfoliating peel with 30% AHA/BHA complex;GlowLab;Skincare;Treatments;Product;30ml;bottle;59.90;30.00;MYR;Active;true;140;false;true;78;;Professional grade
04567890-0039-0000-0000-000000000039;PURE-MIST-100;Hydrating Face Mist;Refreshing face mist with botanical extracts;Pure Radiance;Skincare;Mists;Product;100ml;bottle;44.90;22.00;MYR;Active;true;180;false;false;62;;
04567890-0040-0000-0000-000000000040;BODY-LOTION-250;Firming Body Lotion;Firming body lotion with caffeine;Body Beautiful;Skincare;Body Care;Product;250ml;bottle;69.90;35.00;MYR;Active;true;160;false;false;60;;
