ID;outletName;brandToPitch;status;platform;contactEmail;contactName;contactPhone;address;city;state;country;postalCode;source;sourceDetail;leadQuality;estimatedValue;assignedTo_ID;owner_ID;converted;convertedDate;prospect_ID;notes;lastContactDate;nextFollowUp;aiScore;sentimentScore;sentimentLabel;trendScore;trendingTopics;recommendedAction
09012345-0011-0000-0000-000000000011;Glow & Go Beauty Bar;Quick Service;Contacted;Instagram;glowandgo@gmail.com;Lisa Ng;+60321234573;The Gardens Mall;Kuala Lumpur;Wilayah Persekutuan;Malaysia;59200;Social;Instagram paid ad response;Medium;38000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Express beauty bar for quick treatments. Looking for fast-acting products. High turnover.;2025-11-10T13:00:00Z;2025-11-21T10:00:00Z;70;62;Positive;78;Quick Results, Express Treatments;Offer trial sizes and quick-result products.
09012345-0012-0000-0000-000000000012;Bella Vita Salon;Italian Beauty;Lost;Facebook;info@bellavita.my;Maria Rossi;+60321234574;Damansara Heights;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50490;Social;Facebook group recommendation;Cold;45000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;High-end salon specializing in Italian beauty techniques. Decided to import directly from Italy.;2025-10-28T14:00:00Z;;35;-40;Negative;45;;Lost to direct import. Follow up in 6 months.
09012345-0013-0000-0000-000000000013;Modern Aesthetics;Anti-Aging;New;LinkedIn;modern@aesthetics.my;Dr. James Lim;+60321234575;KLCC;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50088;LinkedIn;LinkedIn sponsored post;Warm;145000.00;01234567-0010-0000-0000-000000000010;01234567-0010-0000-0000-000000000010;false;;;Medical aesthetics clinic. Looking for professional-grade anti-aging products. High-value potential client.;;2025-11-25T14:00:00Z;83;72;Positive;80;Anti-Aging, Retinol, Peptides;High-value lead. Schedule detailed consultation with technical expert.
09012345-0014-0000-0000-000000000014;Fresh Face Studio;Teen Beauty;Contacted;TikTok;fresh@freshface.my;Emily Wong;+60123456793;One Utama;Petaling Jaya;Selangor;Malaysia;47800;Social;TikTok brand mention;Warm;32000.00;01234567-0009-0000-0000-000000000009;01234567-0009-0000-0000-000000000009;false;;;Beauty studio targeting teenagers and young adults. Looking for affordable, trending products.;2025-11-12T11:00:00Z;2025-11-20T14:00:00Z;75;68;Positive;90;Teen Beauty, TikTok Trends;Focus on trending, affordable products. Offer social media collaboration.
09012345-0015-0000-0000-000000000015;Beauty Academy KL;Education;Qualified;Web;academy@beautyacademy.my;Sharon Lee;+60321234576;Bukit Bintang;Kuala Lumpur;Wilayah Persekutuan;Malaysia;55100;Web;Email inquiry about bulk products;Warm;68000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Beauty training academy needs products for student training. Bulk orders for classes.;2025-11-11T15:00:00Z;2025-11-22T10:00:00Z;78;70;Positive;65;Training, Professional;Offer education pricing and training support materials.
09012345-0016-0000-0000-000000000016;Pure Glow Wellness;Clean Beauty;New;Instagram;hello@pureglow.my;Jessica Tan;+60123456794;Bangsar Village 2;Kuala Lumpur;Wilayah Persekutuan;Malaysia;59100;Social;Instagram story response;Medium;42000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Wellness center incorporating beauty services. Strong focus on clean, sustainable products.;;2025-11-26T11:00:00Z;71;62;Positive;78;Clean Beauty, Sustainable;Emphasize certifications and sustainability credentials.
09012345-0017-0000-0000-000000000017;Style Bar Melaka;Makeup Services;Contacted;Referral;stylebar@gmail.com;Carmen Lee;+60621234577;Mahkota Parade;Melaka;Melaka;Malaysia;75000;Referral;Referred by Pure Beauty Hub;Cold;25000.00;01234567-0007-0000-0000-000000000007;01234567-0007-0000-0000-000000000007;false;;;Makeup service for events. Small operation with limited budget. Needs education on product quality.;2025-11-09T16:00:00Z;2025-11-27T15:00:00Z;48;40;Neutral;52;;Provide samples and educational materials. Payment plan option.
09012345-0018-0000-0000-000000000018;Luxe Beauty Lounge;Luxury;Qualified;Web;info@luxebeautylounge.my;Victoria Chen;+60321234578;Pavilion KL;Kuala Lumpur;Wilayah Persekutuan;Malaysia;55100;Web;Website premium inquiry;Hot;125000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;High-end beauty lounge in Pavilion. Looking for exclusive luxury brands. Premium clientele willing to pay premium prices.;2025-11-13T14:00:00Z;2025-11-18T14:00:00Z;90;82;Very Positive;85;Luxury, Premium, Exclusive;Priority lead. Offer exclusive brands and VIP service.
09012345-0019-0000-0000-000000000019;Natural Elements;Natural Products;New;Web;contact@naturalelements.my;Hannah Ng;+60421234579;Georgetown;Penang;Pulau Pinang;Malaysia;10200;Web;Website inquiry;Medium;38000.00;01234567-0003-0000-0000-000000000003;01234567-0003-0000-0000-000000000003;false;;;Retail store focusing on natural and organic products. Small but growing business in Georgetown.;;2025-11-28T10:00:00Z;66;58;Positive;75;Natural, Organic, Botanical;Send clean beauty catalog. Emphasize natural ingredients.
09012345-0020-0000-0000-000000000020;Beauty Insider Online;Subscription;Qualified;TikTok;insider@beautyinsider.my;Daniel Wong;+60123456795;Cyberjaya;Cyberjaya;Selangor;Malaysia;63000;Social;TikTok business account;Hot;88000.00;01234567-0009-0000-0000-000000000009;01234567-0009-0000-0000-000000000009;false;;;Beauty subscription box service similar to Ipsy. Looking for exclusive products for curated boxes. Active TikTok presence.;2025-11-12T17:00:00Z;2025-11-16T11:00:00Z;86;78;Very Positive;88;Subscription Box, Curated, Discovery;Excellent opportunity. Offer sample sizes and exclusive products.
